Epoch,Train_MSE,Val_MSE,Learning_Rate
358,1.7438895693841812e-08,2.2015899312779718e-08,6.046617599999998e-06
359,1.4661906461203015e-08,1.423674667220814e-08,6.046617599999998e-06
360,1.5022404913487076e-08,2.14756019707442e-08,6.046617599999998e-06
361,1.4791528059827973e-08,1.3555900371546451e-08,6.046617599999998e-06
362,1.4925959754767578e-08,1.6809857420525157e-08,6.046617599999998e-06
363,1.4860796129359359e-08,1.4681374317491777e-08,6.046617599999998e-06
364,1.486331013092723e-08,1.5937995965012545e-08,6.046617599999998e-06
365,1.482617353618022e-08,1.4625186710188566e-08,6.046617599999998e-06
366,1.4868997656697596e-08,1.3984053856624207e-08,6.046617599999998e-06
367,1.488987535400911e-08,1.4088535308192543e-08,6.046617599999998e-06
368,1.4782178734141604e-08,1.8335300274903922e-08,6.046617599999998e-06
369,1.4796771481682373e-08,1.648197439969935e-08,6.046617599999998e-06
370,1.4726059822548897e-08,1.4371803309443036e-08,6.046617599999998e-06
371,1.475825279178956e-08,1.5145152342329236e-08,6.046617599999998e-06
372,1.4672251131566474e-08,1.5399607044038675e-08,6.046617599999998e-06
373,1.4765038823258321e-08,1.4445653546331221e-08,6.046617599999998e-06
374,1.4660291754438459e-08,1.495953010699441e-08,6.046617599999998e-06
375,1.4709142025348717e-08,1.84560832236331e-08,6.046617599999998e-06
376,1.4471113228044868e-08,1.4790278979476997e-08,6.046617599999998e-06
377,1.467754762105963e-08,1.4812192147346553e-08,3.6279705599999985e-06
378,1.3121285248726811e-08,1.3498269007392299e-08,3.6279705599999985e-06
379,1.317360455842584e-08,1.4970091480325657e-08,3.6279705599999985e-06
380,1.3256398052445417e-08,1.3282482969419817e-08,3.6279705599999985e-06
381,1.323754419282438e-08,1.3043058359988874e-08,3.6279705599999985e-06
382,1.3182249922434416e-08,1.34690494609204e-08,3.6279705599999985e-06
383,1.3110697021448898e-08,1.300960731522638e-08,3.6279705599999985e-06
384,1.315228642709443e-08,1.3666989236457152e-08,3.6279705599999985e-06
385,1.3115289551941787e-08,1.3105258731835547e-08,3.6279705599999985e-06
386,1.3156060868365002e-08,1.2921312872851817e-08,3.6279705599999985e-06
